"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Bout_1","Bout_2","Bout_3","Bout_4","Bout_5","Bout_6","Bout_7","Bout_8","Bout_9","Bout_10","Bout_11","Bout_12","Bout_13","Bout_14","Decimal_entrance_time","Total_runs","Decimal_time","Duration","Scent","Site","Density","Flower_number"
"C","6/15/22","BO.a_C",27,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",40,0,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,7,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",46,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,13,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",51,0,1,4,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,21,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",57,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,13,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",68,0,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,9,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",73,0,1,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,15,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",80,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,7,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",85,0,1,6,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,35,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",97,0,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,27,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",103,0,1,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,27,24,96,"Clove","South","High","Low"
"C","6/15/22","BO.a_C",117,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,7,24,96,"Clove","South","High","Low"
"C","6/15/22","BP_C",75,0,1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,15,18,102,"Peppermint","Northeast","High","Low"
"C","6/15/22","BP_C",87,0,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,7,18,102,"Peppermint","Northeast","High","Low"
"C","6/15/22","BP_C",102,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,3,18,102,"Peppermint","Northeast","High","Low"
"C","6/15/22","BP_C",117,0,1,25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,29,18,102,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",49,0,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,23,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",54,0,1,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,18,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",59,0,1,15,12,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,45,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",66,0,1,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,23,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",74,0,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,23,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",80,0,1,24,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,39,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",87,0,1,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,26,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",93,0,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,9,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",104,0,1,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,27,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","BW_C",109,0,1,3,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,23,11,109,"Peppermint","Northeast","High","Low"
"C","6/15/22","FR.a_C",63,0,1,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,12,33,87,"Clove","South","High","Low"
"C","6/15/22","FR.a_C",84,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,7,33,87,"Clove","South","High","Low"
