"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"C","6/15/22","BO.a_C",27,0,1,27,4,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",40,0,1,40,7,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",46,0,1,46,13,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",51,0,1,51,21,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",57,0,1,57,13,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",68,0,1,68,9,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",73,0,1,73,15,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",80,0,1,80,7,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",85,0,1,85,35,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",97,0,1,97,27,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",103,0,1,103,27,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BO.a_C",117,0,1,117,7,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",24,96
"C","6/15/22","BP_C",75,0,1,75,15,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",18,102
"C","6/15/22","BP_C",87,0,1,87,7,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",18,102
"C","6/15/22","BP_C",102,0,1,102,3,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",18,102
"C","6/15/22","BP_C",117,0,1,117,29,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",18,102
"C","6/15/22","BW_C",49,0,1,49,23,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",54,0,1,54,18,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",59,0,1,59,45,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",66,0,1,66,23,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",74,0,1,74,23,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",80,0,1,80,39,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",87,0,1,87,26,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",93,0,1,93,9,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",104,0,1,104,27,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","BW_C",109,0,1,109,23,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",11,109
"C","6/15/22","FR.a_C",63,0,1,63,12,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",33,87
"C","6/15/22","FR.a_C",84,0,1,84,7,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",33,87
"C","6/15/22","FR.a_C",97,0,1,97,31,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",33,87
"C","6/15/22","GR.a_C",66,0,1,66,10,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",39,81
"C","6/15/22","GR.a_C",71,0,1,71,42,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",39,81
"C","6/15/22","GR.a_C",78,0,1,78,3,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",39,81
"C","6/15/22","GR.a_C",84,0,1,84,18,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",39,81
"C","6/15/22","GR.a_C",97,0,1,97,27,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",39,81
"C","6/15/22","OP.a_C",121,0,1,121,1,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",53,67
"C","6/15/22","OY.a_C",113,0,1,113,5,"Trial 1",1,"Clove","Changing","Density: High, Number of flowers: Low","South","High","Low",28,92
"C","6/15/22","RB_C",62,0,1,62,13,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",26,94
"C","6/15/22","RB_C",82,0,1,82,18,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",26,94
"C","6/15/22","RB_C",108,0,1,108,4,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",26,94
"C","6/15/22","RB_C",113,0,1,113,45,"Trial 1",1,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",26,94
"C","6/16/22","_B.a_C",92,0,1,92,21,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",3,117
"C","6/16/22","_B.a_C",100,0,1,100,12,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",3,117
"C","6/16/22","BB.a_C",112,0,1,112,8,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",3,117
