"Colony","Trial","Date","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Bee","Decimal_time","Duration"
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","BR_7B",23,37
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","BW.a_7B",19,41
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","BY.a_7B",17,43
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FFP_7B",7,53
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FGG_7B",6,54
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FO.a_7B",6,54
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FO_7B",4,56
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FR.a_7B",10,50
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FR_7B",10,50
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FYY_7B",15,45
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","GGW_7B",5,55
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","OWW_7B",9,51
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PBB_7B",11,49
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PO.a_7B",8,52
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PO_7B",11,49
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PR_7B",6,54
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PY.a_7B",7,53
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","RW.a_7B",11,49
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","WGG_7B",16,44
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","WY.a_7B",9,51
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","WY_7B",9,51
"7B","Trial 2","7/18/22","1","Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","YO.a_7B",20,40
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BF.a_7B",5,55
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BG_7B",2,58
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BO_7B",8,52
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BP.a_7B",6,54
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BP_7B",2,58
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BRR_7B",9,51
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BWW_7B",22,38
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","FF.a_7B",6,54
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","FYR_7B",8,52
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","FY_7B",13,47
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GF_7B",59,1
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GO_7B",16,44
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GP.a_7B",7,53
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GR_7B",3,57
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GY_7B",54,6
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","OB_7B",11,49
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","OF.a_7B",5,55
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","OP_7B",17,43
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","PF.big_7B",4,56
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","PF_7B",11,49
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","PG.a_7B",15,45
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","PGG_7B",15,45
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","PG_7B",15,45
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","POO_7B",6,54
"7B","Trial 2","7/18/22","1","Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","PRR_7B",10,50
