"Colony","Trial","Date","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Bee","Dances","Dance_rate","Waggle_runs"
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","BR_7B",2,3.24324324324324,21
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","BW.a_7B",1,1.46341463414634,5
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","BY.a_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FFP_7B",8,9.05660377358491,292
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FGG_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FO.a_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FO_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FR.a_7B",1,1.2,13
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FR_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","FYY_7B",2,2.66666666666667,25
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","GGW_7B",4,4.36363636363636,161
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","OWW_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PBB_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PO.a_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PO_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PR_7B",1,1.11111111111111,26
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","PY.a_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","RW.a_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","WGG_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","WY.a_7B",5,5.88235294117647,99
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","WY_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low","YO.a_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BF.a_7B",7,7.63636363636364,82
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BG_7B",8,8.27586206896552,81
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BO_7B",9,10.3846153846154,138
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BP.a_7B",7,7.77777777777778,96
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BP_7B",8,8.27586206896552,117
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BRR_7B",3,3.52941176470588,15
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","BWW_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","FF.a_7B",3,3.33333333333333,33
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","FYR_7B",9,10.3846153846154,163
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","FY_7B",8,10.2127659574468,312
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GF_7B",0,0,0
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GO_7B",8,10.9090909090909,331
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GP.a_7B",7,7.92452830188679,73
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GR_7B",2,2.10526315789474,32
"7B","Trial 2","7/18/22",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low","GY_7B",0,0,0
