Order_entered,Colony,Date,location,scent,Dance_no,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
1,C,6/15/22,South,Clove,1,BO-a,27,0,,,1,,,4,4,,,,,,,,,,,,,
2,C,6/15/22,South,Clove,2,BO-a,40,0,,,1,,,7,5,2,,,,,,,,,,,,
3,C,6/15/22,South,Clove,3,BO-a,46,0,,,1,,,13,13,,,,,,,,,,,,,
5,C,6/15/22,South,Clove,4,BO-a,51,0,,,1,,,21,4,10,7,,,,,,,,,,,
7,C,6/15/22,South,Clove,5,BO-a,57,0,,,1,,,13,13,,,,,,,,,,,,,
13,C,6/15/22,South,Clove,6,BO-a,68,0,,,1,,,9,9,,,,,,,,,,,,,
15,C,6/15/22,South,Clove,7,BO-a,73,0,,,1,,,15,2,13,,,,,,,,,,,,
19,C,6/15/22,South,Clove,8,BO-a,80,0,,,1,,,7,7,,,,,,,,,,,,,
24,C,6/15/22,South,Clove,9,BO-a,85,0,,,1,,,35,6,13,16,,,,,,,,,,,
29,C,6/15/22,South,Clove,10,BO-a,97,0,,,1,,,27,27,,,,,,,,,,,,,
32,C,6/15/22,South,Clove,11,BO-a,103,0,,,1,,,27,7,20,,,,,,,,,,,,
38,C,6/15/22,South,Clove,12,BO-a,117,0,,,1,,,7,7,,,,,,,,,,,,,
17,C,6/15/22,North,Peppermint,1,BP,75,0,,,1,,,15,1,14,,,,,,,,,,,,
26,C,6/15/22,North,Peppermint,2,BP,87,0,,,1,,,7,5,2,,,,,,,,,,,,
31,C,6/15/22,North,Peppermint,3,BP,102,0,,,1,,,3,3,,,,,,,,,,,,,
39,C,6/15/22,North,Peppermint,4,BP,117,0,,,1,,,29,25,4,,,,,,,,,,,,
4,C,6/15/22,North,Peppermint,1,BW,49,0,,,1,,,23,23,,,,,,,,,,,,,
6,C,6/15/22,North,Peppermint,2,BW,54,0,,,1,,,18,13,5,,,,,,,,,,,,
8,C,6/15/22,North,Peppermint,3,BW,59,0,,,1,,,45,15,12,6,12,,,,,,,,,,
12,C,6/15/22,North,Peppermint,4,BW,66,0,,,1,,,23,15,8,,,,,,,,,,,,
16,C,6/15/22,North,Peppermint,5,BW,74,0,,,1,,,23,23,,,,,,,,,,,,,
20,C,6/15/22,North,Peppermint,6,BW,80,0,,,1,,,39,24,6,9,,,,,,,,,,,
25,C,6/15/22,North,Peppermint,7,BW,87,0,,,1,,,26,7,19,,,,,,,,,,,,
27,C,6/15/22,North,Peppermint,8,BW,93,0,,,1,,,9,1,8,,,,,,,,,,,,
33,C,6/15/22,North,Peppermint,9,BW,104,0,,,1,,,27,16,11,,,,,,,,,,,,
35,C,6/15/22,North,Peppermint,10,BW,109,0,,,1,,,23,3,13,7,,,,,,,,,,,
10,C,6/15/22,South,Clove,1,FR-a,63,0,,,1,,,12,4,8,,,,,,,,,,,,
22,C,6/15/22,South,Clove,2,FR-a,84,0,,,1,,,7,7,,,,,,,,,,,,,
30,C,6/15/22,South,Clove,3,FR-a,97,0,,,1,,,31,18,7,6,,,,,,,,,,,
11,C,6/15/22,North,Peppermint,1,GR-a,66,0,,,1,,,10,7,3,,,,,,,,,,,,
14,C,6/15/22,North,Peppermint,2,GR-a,71,0,,,1,,,42,5,21,6,10,,,,,,,,,,
18,C,6/15/22,North,Peppermint,3,GR-a,78,0,,,1,,,3,3,,,,,,,,,,,,,
23,C,6/15/22,North,Peppermint,4,GR-a,84,0,,,1,,,18,8,3,7,,,,,,,,,,,
28,C,6/15/22,North,Peppermint,5,GR-a,97,0,,,1,,,27,15,12,,,,,,,,,,,,
40,C,6/15/22,South,Clove,1,OP-a,121,0,,,1,,,1,1,,,,,,,,,,,,,
36,C,6/15/22,South,Clove,1,OY-a,113,0,,,1,,,5,5,,,,,,,,,,,,,
9,C,6/15/22,North,Peppermint,1,RB,62,0,,,1,,,13,13,,,,,,,,,,,,,
21,C,6/15/22,North,Peppermint,2,RB,82,0,,,1,,,18,18,,,,,,,,,,,,,
34,C,6/15/22,North,Peppermint,3,RB,108,0,,,1,,,4,4,,,,,,,,,,,,,
37,C,6/15/22,North,Peppermint,4,RB,113,0,,,1,,,45,3,23,12,1,6,,,,,,,,,
