Time_interval,Vid_time_interval,_B-a,BB-a,BO-a,BR,GG-a,FR-a,_O-a,OB,OO-wing,OP-a,OY-a,YP,_P-a
10:15,0:00,,,,,,,,,,,,,
10:16,0:01,,,,,,,,,,,,,
10:17,0:02,,,,,1,,,,,,,,
10:18,0:03,,,,,,,,,,,,,
10:19,0:04,,,,,,,,,,,,,
10:20,0:05,,,,,,,,,,,,,
10:21,0:06,,,,,,,,,,,,,
10:22,0:07,,,,,,,,1,,,,,
10:23,0:08,,1,,,,,,,,1,,,
10:24,0:09,,,,,,,,,,,,,
10:25,0:10,,,,,,,,,,,,,
10:26,0:11,,,,,,,,,,,,,
10:27,0:12,,,,,,,,1,,,,,
10:28,0:13,,1,,,,,,,,,1,,
10:29,0:14,1,,,1,,,,,,,,,
10:30,0:15,,,,,,,,,,,,,
10:31,0:16,,,,,,,,,,,,,
10:32,0:17,,,,,,,,,,,,,
10:33,0:18,,,,,,,,,,,,,
10:34,0:19,,,,1,,,,,,,,,
10:35,0:20,,,,,,,,1,,,,,
10:36,0:21,,1,,,,,,,,,,,
10:37,0:22,,,,,,,,,,1,,,
10:38,0:23,,,,,,1,,,,,,,
10:39,0:24,1,,,,,,,,,,1,,
10:40,0:25,,,,,,,,,,,,,
10:41,0:26,,,,,,,,,,1,,,
10:42,0:27,,1,,,,1,,1,,,,,
10:43,0:28,,,,,,,,,,,,,
10:44,0:29,,,,1,,,,,,,,1,
10:45,0:30,,,,,,,,,,,,,
10:46,0:31,1,,,,,,,,,,,,
10:47,0:32,,,,,,,,,,1,1,,
10:48,0:33,,1,,,,,,,,,,,
10:49,0:34,,,,,,,,1,,,,,
10:50,0:35,,,,,,,,,,,,,
10:51,0:36,,,,1,,,,,,,,1,
10:52,0:37,,,,,1,,,,,,1,,
10:53,0:38,,,,,,,,,,,,,
10:54,0:39,,1,,,,,,,,,,,
10:55,0:40,,,,,,,,1,,,,,
10:56,0:41,,,,,,,,,,,,,
10:57,0:42,,,,,1,1,,,,,1,,
10:58,0:43,1,,,,,,,,,1,,,
10:59,0:44,,,,,,,1,,,,,,
11:00,0:45,,,,,,,,,,,,,
11:01,0:46,,,,,,,,1,,,,1,
11:02,0:47,,1,,1,1,,,,,,1,,
11:03,0:48,,,,,,1,,,,,,,
11:04,0:49,,,,,,,,,,,,,
11:05,0:50,,,,,,,,,,,,,
11:06,0:51,1,,,,,,,1,,,,1,
11:07,0:52,,,,,,,,,,,1,,
11:08,0:53,,1,,,,,1,,,,,,
11:09,0:54,,,,1,,1,,,,1,,,
11:10,0:55,,,,,1,,,,,,,,
11:11,0:56,,,,,,,,,,,,,
11:12,0:57,1,,,,,1,,1,,,,1,
11:13,0:58,,,,,,,,,,,,,
11:14,0:59,,1,,,,,,,,,,,
11:15,1:00,,,,,,,1,,,1,,,
11:16,1:01,,,1,,,,,,,,,,
11:17,1:02,,,,1,,,,,,,,,
11:18,1:03,,,,,,,,,,,1,1,
11:19,1:04,1,1,,,,,,1,,1,,,
11:20,1:05,,,1,,1,1,,,,,,,
11:21,1:06,,,,,,,,,,,,,
11:22,1:07,,,,1,,,1,,,1,,,
11:23,1:08,,,,,,,,,,,1,,
11:24,1:09,1,,,,,,,1,,,,1,
11:25,1:10,,1,,,,,,,,,,,
11:26,1:11,,,,,,1,,,,,,,
11:27,1:12,,,1,,,,,,,1,,,
11:28,1:13,,,,1,1,,,,,,1,,
11:29,1:14,,,,,,,,,,,,,
11:30,1:15,,,,,,,1,,,,,,
11:31,1:16,,,,,,,,1,,,,,
11:32,1:17,,,,,,,,,,,,,
11:33,1:18,,,,,,1,,,,1,,,1
11:34,1:19,1,,,,,,,,,,1,,
11:35,1:20,,,,,,,,,,,,,
11:36,1:21,,,,,1,,1,,,,,,
11:37,1:22,,,,,,,,,,,,,
11:38,1:23,,1,,1,,,,,,,,,
11:39,1:24,,,,,,,,1,,,,,
11:40,1:25,,,1,,,1,,,,1,1,1,
11:41,1:26,,1,,,,,,,,,,,
11:42,1:27,,,,,,,1,,,,,,
11:43,1:28,,,,,,,,,,,,,
11:44,1:29,1,,,,,,,,,,,,1
11:45,1:30,,,,,,,,,,,,,
11:46,1:31,,,,,,1,,,,1,,,
11:47,1:32,,1,,,,,,,,,1,,
11:48,1:33,,,1,,1,,,,,,,,
11:49,1:34,,,,1,,,1,,,,,,
11:50,1:35,1,,,,,,,,,,,1,
11:51,1:36,,,,,,,,,,,,,
11:52,1:37,,,,,,,,,,1,,,1
11:53,1:38,,,,,,1,,,,,1,,
11:54,1:39,,1,,,,,,,,,,,
11:55,1:40,,,1,,,,,,,,,,
11:56,1:41,,,,,,,1,,,,,,
11:57,1:42,,,,,1,,,,,,,,
11:58,1:43,,,,,,1,,,,,,,
11:59,1:44,,,,,,,,,,,,,
12:00,1:45,,1,,1,,,,,,,1,,1
12:01,1:46,,,,,,,,,,,,,
12:02,1:47,1,,,,,1,1,,,,,1,
12:03,1:48,,,,,,,,,,,,,
12:04,1:49,,,,,,,,,,,,,
12:05,1:50,,,1,,,,,,,1,,,
12:06,1:51,,1,,,1,,,,,,,,
12:07,1:52,,,,1,,,1,,,,1,,
12:08,1:53,,,,,,,,,,,,,
12:09,1:54,1,,,,,1,,,,,,,
12:10,1:55,,,,,,,,,,,,1,
12:11,1:56,,,,,,,,,,1,,,
12:12,1:57,,1,1,1,,,,1,,,1,,
12:13,1:58,,,,,,,,,,,,,
12:14,1:59,1,,,,,,,,,,,,
