Date: 7/18/2022,,Feeder: South,Scent: Clove,Observer: Tia,Treatment: 1 full trays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,1,12,10,11,11,0,0,7,1,9,0,9,0,9,12,0,13,8,7,0,10,9,11,0,9,10,0,0,3,6,4,1,0,9,8,6
Time_interval,Vid_time_interval,FO,FR-a,FO-a,FYY,FGG,FY-a,FBB,FFP,FR,GGW,BY,BW-a,BO-a,BR,BY-a,BWW2,PO,PO-a,PY-a,PR-a,PR,PBB,WY,WO,WGG,WY-a,WG,WBB,OWW,OW-a,RW-a,RB-a,RBB,YO-a,B_,Recruits
9:30,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:31,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:32,0:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:33,0:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:34,0:04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:35,0:05,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9:36,0:06,,,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
9:37,0:07,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
9:38,0:08,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
9:39,0:09,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,
9:40,0:10,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:41,0:11,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,
9:42,0:12,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
9:43,0:13,,,,,?,,,,,?,,,,,,,,,,,,,,,,1,,,,,,,,,,
9:44,0:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:45,0:15,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46,0:16,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,
9:47,0:17,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
9:48,0:18,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,1
9:49,0:19,,,1,1,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
9:50,0:20,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
9:51,0:21,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
9:52,0:22,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
9:53,0:23,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,
9:54,0:24,,,,,1,,,1,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,1,
9:55,0:25,,1,1,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,1,,,,,
9:56,0:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
9:57,0:27,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9:58,0:28,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,,,,,,,1,
9:59,0:29,,1,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,
10:00,0:30,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,
10:01,0:31,,,,,,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,
10:02,0:32,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
10:03,0:33,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,
10:04,0:34,,1,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,
10:05,0:35,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,,,,,,,,,,
10:06,0:36,,,,,1,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,,
10:07,0:37,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
10:08,0:38,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,
10:09,0:39,,,,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,,
10:10,0:40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:11,0:41,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
10:12,0:42,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,
10:13,0:43,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
10:14,0:44,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
10:15,0:45,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,
10:16,0:46,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
10:17,0:47,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
10:18,0:48,,,1,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1
10:19,0:49,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
10:20,0:50,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,
10:21,0:51,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
10:22,0:52,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,
10:23,0:53,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
