,,#NAME?,,,,Dances,222,40,,4459,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/18/22,BF-a,14,36,15,28,1,4 consecutive circuits but only last 3 included waggling,1,3,3,,,,,,,,,,,,,
7B,7/18/22,BF-a,18,4,19,7,1,only 1 waggle run cut off by unloader bee,,1,1,,,,,,,,,,,,,
7B,7/18/22,BF-a,21,48,22,50,0,"starts on glass, loops but no waggles",2,0,,,,,,,,,,,,,,
7B,7/18/22,BF-a,25,30,26,36,0,runs excitedly but no waggles or loops,,0,,,,,,,,,,,,,,
7B,7/18/22,BF-a,32,41,33,26,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BF-a,35,43,37,11,1,,,1,1,,,,,,,,,,,,,
7B,7/18/22,BF-a,40,12,40,56,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BF-a,43,47,44,47,1,,,9,6,3,,,,,,,,,,,,
7B,7/18/22,BF-a,47,1,48,1,1,,,11,11,,,,,,,,,,,,,
7B,7/18/22,BF-a,50,29,52,35,1,first bout on glass,,31,30,1,,,,,,,,,,,,
7B,7/18/22,BF-a,55,17,56,55,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BF-a,59,26,60,58,1,first 8 waggle runs on glass,,26,8,7,7,4,,,,,,,,,,
7B,7/18/22,BG,25,42,27,8,1,some circuits had no waggle and others a subtle waggle,2,4,2,2,,,,,,,,,,,,
7B,7/18/22,BG,29,45,31,4,1,,1,9,1,6,2,,,,,,,,,,,
7B,7/18/22,BG,33,34,34,2,1,,2,2,2,,,,,,,,,,,,,
7B,7/18/22,BG,37,29,38,47,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BG,41,34,42,46,1,,,2,2,,,,,,,,,,,,,
7B,7/18/22,BG,45,40,47,12,1,,,20,10,10,,,,,,,,,,,,
7B,7/18/22,BG,50,1,51,17,1,,,10,2,1,7,,,,,,,,,,,
7B,7/18/22,BG,54,13,55,30,1,,,11,7,4,,,,,,,,,,,,
7B,7/18/22,BG,57,57,59,33,1,,,23,7,3,13,,,,,,,,,,,
7B,7/18/22,BO,20,13,21,37,1,very pronounced waggles,,13,1,1,11,,,,,,,,,,,
7B,7/18/22,BO,24,25,25,13,1,,,1,1,,,,,,,,,,,,,
7B,7/18/22,BO,27,42,28,51,1,,1,7,7,,,,,,,,,,,,,
7B,7/18/22,BO,31,35,32,57,1,dance is on the glass,,13,2,11,,,,,,,,,,,,
7B,7/18/22,BO,35,36,36,26,1,,,9,9,,,,,,,,,,,,,
7B,7/18/22,BO,39,15,39,52,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BO,42,33,44,8,1,first bouts on glass,,31,2,2,18,9,,,,,,,,,,
7B,7/18/22,BO,46,49,47,28,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BO,50,4,51,7,1,,,14,14,,,,,,,,,,,,,
7B,7/18/22,BO,53,46,54,41,1,dance on glass,,9,9,,,,,,,,,,,,,
7B,7/18/22,BO,57,18,59,22,1,,,41,33,8,,,,,,,,,,,,
7B,7/18/22,BP,19,56,20,56,1,,3,9,9,,,,,,,,,,,,,
7B,7/18/22,BP,23,27,24,35,1,,2,11,4,7,,,,,,,,,,,,
7B,7/18/22,BP,27,8,27,40,1,checked and it really was only 1 waggle run,,1,1,,,,,,,,,,,,,
7B,7/18/22,BP,30,48,31,28,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BP,33,58,35,14,1,,,16,16,,,,,,,,,,,,,
7B,7/18/22,BP,38,7,39,4,1,,,13,13,,,,,,,,,,,,,
7B,7/18/22,BP,45,15,46,7,1,,,12,12,,,,,,,,,,,,,
7B,7/18/22,BP,48,50,49,36,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BP,52,19,53,29,1,? not sure if bww or bp or just bw -> BP,,19,19,,,,,,,,,,,,,
7B,7/18/22,BP,56,25,58,9,1,"not BWW but BP, BWW came in at 53:23 and tremble danced for a very long time",,36,36,,,,,,,,,,,,,
7B,7/18/22,BP-a,11,25,12,36,1,"starts off on glass, waggle runs slightly ambiguous because she keeps stopping to unload",4,2,1,1,,,,,,,,,,,,
7B,7/18/22,BP-a,19,38,20,32,1,,,4,4,,,,,,,,,,,,,
7B,7/18/22,BP-a,35,18,37,4,1,,,21,9,12,,,,,,,,,,,,
7B,7/18/22,BP-a,39,46,41,3,1,,,26,10,16,,,,,,,,,,,,
7B,7/18/22,BP-a,43,45,44,50,1,,1,1,1,,,,,,,,,,,,,
7B,7/18/22,BP-a,47,26,48,7,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BP-a,50,54,51,36,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BP-a,52,7,52,36,1,,,17,17,,,,,,,,,,,,,
7B,7/18/22,BP-a,54,17,55,41,1,,,25,25,,,,,,,,,,,,,
7B,7/18/22,BR,32,4,33,23,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BR,37,16,38,23,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BR,41,59,43,46,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BR,46,55,47,48,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BR,50,45,52,0,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BR,55,14,56,4,1,,,19,5,5,9,,,,,,,,,,,
7B,7/18/22,BR,59,9,60,7,1,,,2,2,,,,,,,,,,,,,
7B,7/18/22,BRR,14,42,15,52,0,on glass at start so marks not visible,2,0,,,,,,,,,,,,,,
7B,7/18/22,BRR,22,47,23,46,0,no loops or waggling,1,0,,,,,,,,,,,,,,
7B,7/18/22,BRR,30,25,31,8,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BRR,36,44,37,36,1,,,6,4,2,,,,,,,,,,,,
7B,7/18/22,BRR,42,58,44,0,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BRR,46,32,47,10,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BRR,49,54,50,29,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BRR,52,43,53,36,1,,1,1,1,,,,,,,,,,,,,
7B,7/18/22,BRR,56,0,56,49,1,,,8,8,,,,,,,,,,,,,
7B,7/18/22,BRR,59,20,60,13,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,21,35,23,14,0,no loops or waggling,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,30,54,32,14,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,34,45,35,47,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,38,27,39,27,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,42,58,44,2,1,this really is BW-a,,5,5,,,,,,,,,,,,,
7B,7/18/22,BW-a,49,51,50,38,0,this really is BW-a,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,53,10,53,52,0,this really is BW-a,,0,,,,,,,,,,,,,,
7B,7/18/22,BWW,38,0,41,57,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,BWW,46,29,49,40,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,BWW,53,23,57,15,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,32,33,33,46,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,37,2,37,46,0,subtle waggle but no clear circuit or run,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,40,41,41,34,0,,,0,,,,,,,,,,,,,,
