Date: 7/18/2022,,Feeder: South,Scent: Clove,Observer: Tia,Treatment: 1 full trays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*watched up to 40:00,0,10,14,10,11,0,0,4,0,9,0,3,0,0,15,10,11,12,13,0,12,10,15,0,9,12,4,0,0,12,5,0,0,12,9,3,10
Time_interval,Vid_time_interval,FO,FR-a,FO-a,FYY,FGG,FY-a,FBB,FFP,FR,GGW,BY,BW-a,BO-a,BR,BY-a,BWW2,PO,PO-a,PY-a,PR-a,PR,PBB,WY,WO,WGG,WY-a,WG,WBB,OW-a,OWW,RW-a,RB-a,RBB,YO-a,B_,P_,Recruits
9:50,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:51,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:52,0:02,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
9:53,0:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:54,0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:55,0:05,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
9:56,0:06,,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,1,,
9:57,0:07,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9:58,0:08,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
9:59,0:09,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
10:00,0:10,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,
10:01,0:11,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,,1,,,,,,,
10:02,0:12,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
10:03,0:13,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,
10:04,0:14,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,
10:05,0:15,,,,,,,,1,,,,1,,,1,,,1,,,1,,,,,,,,,1,,,,,,,1
10:06,0:16,,,,,,,,,,1,,,,,1,,1,,,,,,1,,1,,,,,,,,,1,,,
10:07,0:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08,0:18,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
10:09,0:19,,,,1,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
10:10,0:20,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,1,1,,
10:11,0:21,,1,1,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,1,,
10:12,0:22,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,
10:13,0:23,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,1,1,
10:14,0:24,,,,1,,,,,,,,,,,,,1,1,,,,,1,,1,,,,,,,,,,,,1
