Date: 07/20/22,*watched up to 60:00,North,Peppermint,Person: Angela/Morgan,9 Low-density Trays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# unique bees visited:,42,18,13,22,16,13,19,0,0,0,26,19,19,22,0,1,10,26,18,0,0,9,17,0,0,14,16,20,22,20,0,21,9,0,14,21,14,0,20,15,21,15,17,0,3,16,15,1,0,20,0,22,24,20,15,1,16,7,11,
Time_interval,Vid_time_interval,RF,FF-a,RWR,RO,ROG,RB,RPP,OP,OP-a,OB,OF-a,OW,YB,YG,YP,YP-a,YPY,YF,GW,GR,GP,GP-a,GO,GF,GY,BP,BP-a,BG,BF-a,BO,BRR,BWW,PF-big,PF,PG,PY-v,PY-u,PYY,PRR,POO,PG-a,PGG,WF,WR,WR-a,WRR,WO-a,WGO,WGR,WGY,WOO,WOY,FR,FY,FW,FYR,G_,Recruits:,Notes:
9:40,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:41,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:42,0:02,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:43,0:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
9:44,0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:45,0:05,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46,0:06,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,Just said PY
9:47,0:07,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,1,,Just said PF
9:48,0:08,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,1,1,,,,,,1,,,1,,,1,,,,1,1,,
9:49,0:09,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,Said PF had big purple mark (PF-big has larger F mark)
9:50,0:10,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,1,1,1,1,,,,,,,,,,1,,1,,,1,,
