,,#NAME?,,,,Dances,157,10,31,2396,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/20/22,BF-a,13,47,15,29,1,somewhat ambiguous waggle runs,2,5,3,1,1,,,,,,,,,,,
7B,7/20/22,BF-a,20,11,21,35,1,,,8,8,,,,,,,,,,,,,
7B,7/20/22,BF-a,25,3,26,46,1,,,29,1,5,6,1,1,14,1,,,,,,,
7B,7/20/22,BF-a,30,55,32,9,1,,,12,12,,,,,,,,,,,,,
7B,7/20/22,BF-a,36,40,37,48,1,,2,9,8,1,,,,,,,,,,,,
7B,7/20/22,BF-a,41,42,42,44,1,was recorded as PB-a but I think this is BF-a,,9,7,2,,,,,,,,,,,,
7B,7/20/22,BF-a,47,43,49,14,1,had been listed as BP-a but this was incorrect,,21,8,6,7,,,,,,,,,,,
7B,7/20/22,BF-a,53,43,54,56,1,,,17,2,15,,,,,,,,,,,,
7B,7/20/22,BG,11,6,12,3,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BG,17,14,18,9,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BG,22,38,23,40,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BG,29,21,30,27,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BG,36,33,37,28,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BG,42,19,43,1,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BG,49,8,50,35,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BG,57,37,58,31,1,,2,1,1,,,,,,,,,,,,,
7B,7/20/22,BP,10,38,11,7,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,BP,15,55,16,48,0,one ambiguous loop but did not appear to be a full waggle run,1,0,,,,,,,,,,,,,,
7B,7/20/22,BP,20,15,20,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BP,24,44,25,25,1,,1,11,7,4,,,,,,,,,,,,
7B,7/20/22,BP,29,26,30,12,0,one waggle but no circuits,,0,,,,,,,,,,,,,,
7B,7/20/22,BP,33,26,34,31,1,,,18,18,,,,,,,,,,,,,
7B,7/20/22,BP,38,12,38,51,1,,,9,9,,,,,,,,,,,,,
7B,7/20/22,BP,44,22,45,4,0,Recorded as BWW but I can only find BP during this period,,0,,,,,,,,,,,,,,
7B,7/20/22,BP,49,15,50,40,1,,,26,4,22,,,,,,,,,,,,
7B,7/20/22,BP,55,29,56,28,1,,,13,13,,,,,,,,,,,,,
7B,7/20/22,BP-a,11,43,12,34,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BP-a,22,29,23,5,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BP-a,27,29,28,17,1,some subtle waggles,,7,7,,,,,,,,,,,,,
7B,7/20/22,BP-a,32,29,33,13,0,ambiguous waggle but no clear circuit,1,0,,,,,,,,,,,,,,
7B,7/20/22,BP-a,38,21,39,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BP-a,44,30,45,9,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BP-a,49,36,50,26,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BP-a,55,35,56,50,1,,,27,27,,,,,,,,,,,,,
7B,7/20/22,BRR,9,22,10,26,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,14,29,15,43,1,somewhat ambiguous waggle runs but at least 1 very clear,,3,2,1,,,,,,,,,,,,
7B,7/20/22,BRR,20,45,21,40,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,26,29,27,9,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,31,20,31,53,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,35,24,35,58,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,41,20,42,12,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,46,49,47,37,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,52,49,53,38,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BRR,58,23,59,18,1,,,4,2,2,,,,,,,,,,,,
7B,7/20/22,BWW,41,21,42,5,1,,,2,2,,,,,,,,,,,,,
7B,7/20/22,BWW,46,59,47,43,1,,,2,2,,,,,,,,,,,,,
7B,7/20/22,BWW,49,15,50,40,1,,,21,21,,,,,,,,,,,,,
7B,7/20/22,BWW,53,21,54,32,1,,,18,18,,,,,,,,,,,,,
7B,7/20/22,BWW,59,12,60,35,1,,,34,11,22,1,,,,,,,,,,,
7B,7/20/22,BY-a,15,19,16,39,1,,,4,4,,,,,,,,,,,,,
7B,7/20/22,BY-a,23,23,24,31,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BY-a,27,46,28,32,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BY-a,31,39,32,25,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BY-a,35,30,36,23,1,,1,8,2,6,,,,,,,,,,,,
7B,7/20/22,BY-a,39,30,40,19,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,BY-a,43,13,44,12,1,,,9,9,,,,,,,,,,,,,
7B,7/20/22,BY-a,47,12,47,56,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BY-a,51,11,52,5,1,,,2,2,,,,,,,,,,,,,
7B,7/20/22,BY-a,55,1,55,39,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,BWW,24,6,24,57,1,,,9,1,8,,,,,,,,,,,,
7B,7/20/22,BWW,29,42,30,22,1,looks like BW,,7,7,,,,,,,,,,,,,
7B,7/20/22,FF-a,13,52,14,41,1,one had a very clear waggle (although at an odd angle) and the other was subtle,1,2,2,,,,,,,,,,,,,
7B,7/20/22,FF-a,18,52,19,34,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FF-a,30,13,30,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FF-a,42,7,42,45,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FF-a,48,24,49,1,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FF-a,53,41,54,30,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FF-a,59,35,60,32,1,,,5,5,,,,,,,,,,,,,
7B,7/20/22,FFP,16,52,20,5,1,,1,32,1,9,1,3,6,8,1,3,,,,,,
7B,7/20/22,FFP,22,13,22,58,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,26,8,31,40,1,she spent several minutes inside of a cell (drinking honey?),,5,2,3,,,,,,,,,,,,
7B,7/20/22,FFP,34,42,38,37,1,,,45,3,36,6,,,,,,,,,,,
7B,7/20/22,FFP,41,5,46,53,0,spent a really long time with head in a cell,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,49,36,51,3,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,53,8,56,2,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,58,4,63,42,0,spent a long time in a cell,,0,,,,,,,,,,,,,,
7B,7/20/22,FGG,16,3,17,32,1,"first bout on glass, very subtle waggles but seems consistent",,8,7,1,,,,,,,,,,,,
7B,7/20/22,FGG,20,13,21,25,0,ran around excitedly but no clear waggle run,,0,,,,,,,,,,,,,,
7B,7/20/22,FGG,27,59,29,22,1,,2,6,4,2,,,,,,,,,,,,
7B,7/20/22,FGG,34,53,36,14,1,,,28,1,27,,,,,,,,,,,,
7B,7/20/22,FGG,38,46,39,38,1,,,1,1,,,,,,,,,,,,,
